TEAM,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,X2P_O,X2P_D,X3P_O,X3P_D,ADJ_T,WAB,SEED,.pred_yes,.pred_no,prediction
Gonzaga,29,26,121.4,88.4,0.9747,59.4,43.2,15.9,17,29,23,29.7,22.2,60.9,41.6,37.9,30.7,72.7,7,1,2.205509584266574e-4,0.9997794490415733,no
Houston,34,29,117,89.2,0.9575,53.6,43.5,17.1,21.7,37.8,27.3,28.7,35.1,55.1,43.5,34.1,29,63.9,6.3,5,0.017561609974417802,0.9824383900255822,no
Kansas,34,28,119.8,93.1,0.9477000000000001,54.1,46.9,17.8,18.4,33.4,28.9,32.8,27.8,54.5,47.9,35.5,30.1,69,10.1,1,0.04538105467400022,0.9546189453259998,no
Baylor,32,26,117.1,91.7,0.9430000000000001,52.9,47.8,18.2,22.9,36.3,28.4,28.5,26.9,53.5,49.5,34.6,29.9,67.5,8.6,1,6.935197996704723e-4,0.9993064802003295,no
Texas Tech,34,25,108.8,85.4,0.9419000000000001,52.4,45.5,20.3,23.6,33.3,26.1,36.1,32.1,55.1,44.3,31.4,31.3,66.3,6.2,3,0.015611070287846252,0.9843889297121537,no
Arizona,34,31,118.6,93.2,0.9407000000000001,55.9,44.4,18,17.7,34.5,28.3,35.1,22.8,57.5,41.9,35.4,32.7,72.3,9.1,1,0.03235761796732106,0.9676423820326789,no
Tennessee,33,26,110.8,87.2,0.9405,50.3,46.2,18,22.9,32.8,27.4,29.6,31.6,48,45.8,35.8,31.2,67.1,8.1,3,0.0027294288487003104,0.9972705711512997,no
Kentucky,33,26,119.4,94.3,0.9380000000000001,53.3,46.5,16.6,17.4,37.8,24.9,27.2,25.1,53.7,47.2,34.9,30.3,67.6,6.9,2,0.005895491993508806,0.9941045080064912,no
Duke,34,28,120,95.1,0.9355,55.6,47,14.9,16.1,31.9,28.5,28.6,18.9,55.8,46.9,36.8,31.4,67.6,6.5,2,0.2114820059270136,0.7885179940729864,no
UCLA,32,25,115.5,91.6,0.9349000000000001,50.6,47.7,13.4,19.7,31.9,24.8,29.8,29.2,49.6,47.3,35.2,32.2,65.7,5.4,4,0.0052005365520493285,0.9947994634479507,no
Villanova,33,26,117.4,93.5,0.9321,52,47.5,15.5,18.8,30.9,28,30.5,25.1,50.3,48.2,35.9,31,62.5,7.5,2,0.0099340570643911,0.9900659429356089,no
Auburn,32,27,112.5,89.7,0.9313,50.3,44.1,16.7,20.7,33.2,29.3,31.6,34.8,51.9,42.6,32,31.2,69.9,7.7,2,9.61396368492462e-4,0.9990386036315075,no
Iowa,35,26,121.7,97,0.9311,53.6,49.8,12.9,19.3,32.2,30.2,30.4,26.2,52.6,50,36.8,32.9,69.7,5,5,0.3045964029024295,0.6954035970975705,no
Purdue,34,27,122.2,97.7,0.9295,57,49.6,17.3,14.1,35.2,23.6,36.3,21.4,55.9,49.2,39.1,33.5,65.7,7.3,3,0.1945499559586803,0.8054500440413197,no
Texas,32,21,111.4,91.1,0.9098,50.1,46.5,18.2,23.3,31.9,30,32.3,36.8,50.9,46.1,32.3,31.6,63,3,6,7.325298836946548e-4,0.9992674701163053,no
Illinois,31,22,113.5,93.2,0.9067000000000001,53.1,46.3,17.7,15.6,33.4,25.8,31.7,28.4,51.7,45.5,36.7,32.2,67,4.6,4,7.447358009415872e-4,0.9992552641990584,no
Saint Marys,31,25,109.3,89.9,0.9044,52.6,48.3,17.1,19.5,27.3,21.9,23.2,24.4,52.6,47,35.1,34.4,63.6,4.5,5,0.006770186932410049,0.99322981306759,no
Arkansas,33,25,109.6,91.3,0.8913,49.2,47.5,17.4,20.6,30.9,25.8,37.9,32.3,50.9,46.4,30.7,32.8,70.6,4.6,4,0.019122054406172873,0.9808779455938271,no
San Francisco,32,24,110.4,92.2,0.8871,53.1,46.9,18.1,18.5,30.3,23.8,28.4,32.2,53.9,48.4,34.7,28.9,68.8,2.1,10,0.0020262238813402167,0.9979737761186598,no
Memphis,31,21,111,92.8,0.8871,52.6,46.5,22.9,20.9,37.5,31,38.4,32.9,52,45.3,35.9,32.1,70.4,1.6,9,7.096348578156109e-4,0.9992903651421844,no
Virginia Tech,35,23,114.7,95.9,0.8865,55.2,48.7,17,18.8,28.1,26.1,23.7,25.2,52.5,49.4,39.3,31.7,62.9,0.8,11,0.06773856713784898,0.932261432862151,no
Connecticut,32,23,113.1,95,0.8814,49.6,45.7,17.4,18,38,27.5,30.6,31.9,47.8,42.8,35.3,34.5,65.1,3.3,5,0.001109161700791561,0.9988908382992084,no
Indiana,33,20,108.2,90.9,0.8803,51.3,45.6,17.3,17.4,26.9,25,33.5,30.6,51.4,43.4,33.9,32.6,67,0.5,12,0.00263745977955121,0.9973625402204488,no
LSU,33,22,106.4,89.4,0.88,49.5,45.1,20.4,25.3,33.7,31.2,33,38.4,50.5,47.7,31.9,28,68.7,2.4,6,9.616744209433037e-4,0.9990383255790567,no
San Diego St,31,23,102.3,86.3,0.8763000000000001,48.8,44,19.3,21.7,29.6,27,31.3,30.6,46.6,43.1,35.8,30.4,65.2,3.1,8,1.4660775385100244e-4,0.999853392246149,no
Michigan,31,17,114.6,97,0.8720000000000001,52.3,50.3,17.1,15,31.2,23.8,28.9,26.6,53,50.8,34,33,66.1,0.5,11,0.0012505597537608715,0.9987494402462391,no
Alabama,32,19,115.9,98.5,0.8665,51.5,49.4,19.8,17.7,35.5,30.7,33.6,35.2,56.3,49.3,30.8,33.1,71.6,2.1,6,0.023768718898444896,0.9762312811015551,no
Wisconsin,31,24,110.1,93.8,0.8640000000000001,48.2,49.4,12.7,16.9,25.8,24,32.3,27.7,48.9,49.9,31.3,32.3,66.4,6.7,3,3.4268080885369034e-4,0.9996573191911463,no
Ohio St,30,19,116.8,99.6,0.86240000000000006,54.8,47.9,16.7,15.3,28.8,28.6,33.5,29.2,54,46.2,37.3,34,65.1,1.7,7,4.096098503703072e-5,0.999959039014963,no
Boise St,33,27,108.2,92.3,0.8620000000000001,51.1,48.2,18.5,20.1,30.6,21.9,35.2,25.8,51.1,48,34.1,32.4,64.7,4,8,0.006578810323506157,0.9934211896764938,no
North Carolina,33,24,112.3,96.2,0.8548000000000001,52.1,49.8,16.5,14.1,30.4,20.8,29.6,21.5,50.7,48.3,36.2,34.9,70.2,3.8,8,0.017699189437025198,0.9823008105629748,no
Loyola Chicago,31,25,108.7,93.5,0.8498000000000001,56.3,47,18.4,19.9,25.1,23.9,31.9,28.4,55.8,46.9,38,31.5,64.5,2,10,5.489880434561556e-5,0.9999451011956544,no
Michigan St,34,22,110.7,95.7,0.8417000000000001,52,47.5,19.2,15.3,30.7,27,30.4,28.3,49.7,47.9,37.8,31.2,67.6,3.3,7,0.023132851632955864,0.9768671483670441,no
TCU,32,20,107.9,93.4,0.8405,48.9,47.7,21.6,18.4,37.8,26.1,31.2,26.7,50.5,47.9,30.3,31.5,65.8,2.6,9,4.3850642530218753e-4,0.9995614935746978,no
Murray St,29,30,109.6,95.1,0.8361000000000001,52.9,48,17.1,21,35.5,25.4,31.1,24.6,53.5,50,34.7,30.1,65.9,3.6,7,2.798245364210583e-5,0.9999720175463579,no
Notre Dame,31,22,111.9,97.3,0.8341000000000001,54,49.1,15.5,15,22.1,24,27.7,22.9,52,49.9,37.8,31.7,65.5,1.3,11,3.647845312867437e-4,0.9996352154687133,no
Colorado St,29,25,112.6,98.1,0.8300000000000001,55.2,49.9,15.1,18.4,21.9,24.9,30.4,25,56.3,50.5,35.7,32.7,65.3,4.8,6,4.598546890943744e-6,0.9999954014531091,no
Providence,30,25,111.8,97.7,0.8253,50.3,46.7,17.3,15.8,30.5,28,38.5,26.3,49.6,46.6,34.3,31.2,65.4,6,4,1.5846627937632363e-5,0.9999841533720624,no
Seton Hall,30,21,106.8,93.6,0.8206000000000001,47.6,45.4,17.5,18.5,32.7,29.1,30.8,27.8,46.2,44.8,33.3,31,67.5,2.1,8,9.62402727566758e-6,0.9999903759727243,no
Davidson,32,27,115.8,101.5,0.8194,55.6,49.4,14.8,16.9,23.6,22.2,32.9,28,54.2,48.4,38.4,33.8,64.6,2.3,10,1.7283150892144494e-4,0.9998271684910786,no
Iowa St,32,20,102.9,90.3,0.8186000000000001,49.9,48.4,20.4,24.5,28.2,28.5,28.1,36.2,50.9,50.7,32.1,29.6,66.2,2.5,11,2.847844689457535e-5,0.9999715215531054,no
Marquette,31,19,108.8,95.6,0.8154,52.6,46.7,17.3,19.1,22.4,31.4,26.8,29.7,52.9,46.2,34.7,31.7,71,0.6,9,3.779155092431541e-5,0.9999622084490757,no
Miami FL,33,23,114.1,100.6,0.8089000000000001,54.2,53.4,14.2,20.3,23.4,30.3,28.9,24.6,54.9,53.9,35.3,35.2,67.4,2.1,10,0.003561173901608039,0.996438826098392,no
Creighton,33,22,103.8,91.7,0.8063,50.9,44.9,20.5,15.5,28.6,28.4,26,20.3,53.9,43.5,30.7,31.7,66.8,2,9,0.007151787455022984,0.992848212544977,no
UAB,32,27,111.6,98.6,0.8059000000000001,52.9,47.9,16.3,21.4,33.4,27.4,29.5,31.5,50.6,47.5,38.3,32.4,68.8,0.1,12,1.245292672745757e-4,0.9998754707327254,no
USC,33,26,109.1,96.6,0.803,51.1,44.7,17.7,14.7,33.8,27.2,30.9,26.3,50.1,41.6,35.4,33.7,66,4.3,7,3.255313718346642e-4,0.9996744686281653,no
Vermont,32,28,109.7,97.6,0.7923999999999999,57.3,47.7,14.9,17.1,24,18.6,26.6,22.6,58.9,45.2,36.8,34.4,64.8,-0.8,13,2.6347410098770396e-4,0.9997365258990123,no
Wyoming,32,25,108.9,97.4,0.7837,52.4,47.2,16.7,15.8,25.6,24.1,37,24.5,54.5,48.3,33,30.3,65.7,2.5,12,8.745219895878176e-5,0.9999125478010412,no
South Dakota St,32,30,115.2,103.7,0.7705,59.7,51.5,15.3,15.8,24,24.2,35.2,21.3,56.3,50.6,44.2,35.2,69.6,1.8,13,6.525003626830506e-4,0.999347499637317,no
Rutgers,31,18,105.7,95.3,0.7678,49.5,48.3,17.3,18.2,29.3,27.1,26.9,28.8,49.1,46.5,33.6,34,65,-0.3,11,2.6679711440769083e-5,0.9999733202885592,no
New Mexico St,29,26,106.4,97.1,0.7407,52.2,45.5,20.7,16.9,33.3,26.2,35.4,27.8,54.1,45.8,33,30,66.2,0.9,12,4.4170408324273325e-6,0.9999955829591676,no
Chattanooga,32,27,107.7,98.5,0.7378,52.8,49.6,17,18,32.7,26.3,27,27.3,53.9,52.1,34.1,30.6,64.5,0.3,13,9.167300666661493e-4,0.9990832699333339,no
Richmond,35,23,108,99.5,0.7188,51.5,50.5,14.4,18.9,22.4,27.2,30.9,23.5,52.2,50,33.8,34.3,66.7,-1.5,12,0.019170098594645246,0.9808299014053548,no
Saint Peters,29,19,98.1,94.1,0.6184,47.8,44.1,20.8,20.9,31.5,28,37.5,41,45.9,44,34.8,29.4,65.7,-5.8,15,6.491961517252065e-7,0.9999993508038483,no
Colgate,33,23,106.5,103.1,0.5918,55.9,49,16.9,16.2,26.5,24.8,26.8,24.3,52.7,48.2,40.2,33.7,67.1,-6.2,14,3.165241359236459e-4,0.9996834758640764,no
Akron,31,24,105.5,102.4,0.5838,52.8,49.3,17.7,17.6,29.1,26.3,40.1,26.2,52.4,47.8,35.6,34.7,61.9,-4,13,3.653127336711304e-5,0.9999634687266329,no
Georgia St,25,18,100.9,98,0.5837,45.1,49.7,16.9,22.7,32.8,30.7,30.2,32.8,43.1,45.4,32.3,37.9,67.1,-5,16,6.36575159251862e-9,0.9999999936342484,no
Delaware,33,22,106.3,103.3,0.5823999999999999,53.5,49.3,18.4,18.5,26.8,31.2,34.6,29.3,54.2,47.5,35,34.9,66.6,-5.6,15,6.700275140087975e-4,0.9993299724859912,no
Longwood,28,26,105.8,103.4,0.5673,51.7,50.6,18.2,20.1,33.6,24.5,35.9,26.8,48,53.6,38.6,31.1,65.7,-2.3,14,1.0010042361674465e-7,0.9999998998995764,no
Montana St,32,27,103.6,101.2,0.5663,54.1,48.6,18.5,18.3,26.7,23.3,40.5,36.2,53.2,48.2,37.2,32.8,66.9,-2.7,14,2.7615770225919434e-5,0.9999723842297741,no
Jacksonville St,29,21,104.4,102.2,0.5608000000000001,54.2,48,20,17.1,28.3,26.2,32.2,21.1,51.8,47.4,38.2,32.5,65.1,-5.1,15,1.910427901430367e-7,0.9999998089572099,no
Yale,29,19,100.1,98.1,0.5583,50.1,48.9,18.3,18.2,25.6,26.5,32.7,31.1,50.5,51.1,32.9,30.4,68.7,-4.8,14,2.3585955931659797e-6,0.9999976414044068,no
Bryant,30,22,103.3,103.9,0.48510000000000003,49.7,47.4,19.1,16.5,33,31.6,32.7,24.4,52.6,47,30.7,32.1,71.9,-4.8,16,1.3490188659481817e-6,0.999998650981134,no
Cal St Fullerton,29,21,102,102.8,0.4771,49.2,50.8,18.1,20.2,29,28,35.7,26.1,48.7,48,33.5,37.1,66,-4.8,15,3.2352111944966566e-7,0.9999996764788806,no
Norfolk St,27,24,101.2,102.3,0.46890000000000004,51.5,45.1,19.9,18.5,29.8,27.2,39.1,33.3,51.3,46.3,34.5,29.1,67.1,-3,16,1.6795553836601584e-10,0.9999999998320445,no
Texas Southern,30,18,96.9,98.7,0.4467,48.7,44.9,21.4,17.4,33.8,28.2,32.7,34.3,49.2,45.2,31.7,29.5,67.6,-6.6,16,8.255233940879236e-8,0.9999999174476606,no
Wright St,33,21,104.7,106.8,0.44530000000000003,52,51.2,17.9,18.4,31.3,30,31.1,26,53.2,51.6,33,33.7,68.5,-8.4,16,1.6186513421756477e-4,0.9998381348657824,no
Texas AM Corpus Chris,30,23,96.5,102.8,0.3256,47.3,49.1,19.9,22.7,34.7,29,38.4,41.6,47.3,50.5,31.6,31.5,68.9,-7.5,16,1.910388541803698e-7,0.9999998089611458,no
