country,Total Cases,Total Death Cases,Total Vaccinated Cases,lat,long
Afghanistan,166207,7432,3912336,33.93911,67.709953
Bangladesh,1811987,28425,59711538,NA,NA
Cambodia,121773,3015,13773041,11.55,104.9167
Indonesia,4480423,144497,131080731,NA,NA
Laos,136438,569,3835288,19.85627,102.495496
Malaysia,2914220,32034,25720902,NA,NA
Nepal,966407,11814,14407775,NA,NA
Pakistan,1463111,29516,86200581,30.3753,69.3451
Philippines,3609590,54530,59811526,12.879721,121.774017
Thailand,2507507,22307,48446240,15.870032,100.992541
Vietnam,2341971,38326,71946807,14.058324,108.277199
