country,date,Vaccination Population,Total Cases,Death Cases
Indonesia,2021-01-12,0,846765,24645
Indonesia,2021-01-13,0,858043,24951
Indonesia,2021-01-14,0,869600,25246
Indonesia,2021-01-15,0,882418,25484
Indonesia,2021-01-16,0,896642,25767
Indonesia,2021-01-17,0,907929,25987
Indonesia,2021-01-18,0,917015,26282
Indonesia,2021-01-19,0,927380,26590
Indonesia,2021-01-20,0,939948,26857
Indonesia,2021-01-21,0,951651,27203
Indonesia,2021-01-22,0,965283,27453
Indonesia,2021-01-23,0,977474,27664
Indonesia,2021-01-24,0,989262,27835
Indonesia,2021-01-25,0,999256,28132
Bangladesh,2021-01-26,0,532916,8055
Indonesia,2021-01-26,0,1012350,28468
Nepal,2021-01-26,0,270094,2017
Bangladesh,2021-01-27,0,533444,8072
Indonesia,2021-01-27,0,1024298,28855
Nepal,2021-01-27,0,270377,2020
Bangladesh,2021-01-28,0,533953,8087
Indonesia,2021-01-28,5468,1037993,29331
Nepal,2021-01-28,0,270590,2020
Bangladesh,2021-01-29,0,534407,8094
Indonesia,2021-01-29,11287,1051795,29518
Nepal,2021-01-29,0,270747,2025
Bangladesh,2021-01-30,0,534770,8111
Indonesia,2021-01-30,20810,1066313,29728
Nepal,2021-01-30,0,270856,2027
Bangladesh,2021-01-31,0,535139,8127
Indonesia,2021-01-31,22548,1078314,29998
Nepal,2021-01-31,0,270961,2029
Bangladesh,2021-02-01,0,535582,8137
Indonesia,2021-02-01,35406,1089308,30277
Nepal,2021-02-01,0,271120,2029
Bangladesh,2021-02-02,0,536107,8149
Indonesia,2021-02-02,51999,1099687,30581
Nepal,2021-02-02,0,271291,2030
Pakistan,2021-02-02,0,549032,11802
Bangladesh,2021-02-03,0,536545,8162
Indonesia,2021-02-03,71621,1111671,30770
Nepal,2021-02-03,0,271433,2031
Pakistan,2021-02-03,0,550540,11833
Bangladesh,2021-02-04,0,537030,8175
Indonesia,2021-02-04,96553,1123105,31001
Nepal,2021-02-04,0,271604,2033
Pakistan,2021-02-04,0,551842,11886
Bangladesh,2021-02-05,0,537465,8182
Indonesia,2021-02-05,120725,1134854,31202
Nepal,2021-02-05,0,271709,2035
Pakistan,2021-02-05,0,553128,11914
Bangladesh,2021-02-06,0,537770,8190
Indonesia,2021-02-06,137207,1147010,31393
Nepal,2021-02-06,0,271808,2035
Pakistan,2021-02-06,0,554474,11967
Bangladesh,2021-02-07,0,538062,8205
Indonesia,2021-02-07,139131,1157837,31556
Nepal,2021-02-07,0,271927,2038
Pakistan,2021-02-07,0,555511,12026
Bangladesh,2021-02-08,0,538378,8221
Indonesia,2021-02-08,171270,1166079,31763
Nepal,2021-02-08,0,272057,2045
Pakistan,2021-02-08,0,556519,12066
Bangladesh,2021-02-09,0,538765,8229
Cambodia,2021-02-09,0,476,0
Indonesia,2021-02-09,221453,1174779,31976
Nepal,2021-02-09,0,272217,2047
Pakistan,2021-02-09,0,557591,12128
Bangladesh,2021-02-10,0,539153,8239
Cambodia,2021-02-10,0,478,0
Indonesia,2021-02-10,279251,1183555,32167
Nepal,2021-02-10,0,272351,2047
Pakistan,2021-02-10,0,559093,12185
Bangladesh,2021-02-11,0,539531,8248
Cambodia,2021-02-11,0,479,0
Indonesia,2021-02-11,345605,1191990,32381
Nepal,2021-02-11,0,272432,2052
Pakistan,2021-02-11,0,560363,12218
Bangladesh,2021-02-12,0,539975,8253
Cambodia,2021-02-12,0,479,0
Indonesia,2021-02-12,345605,1201859,32656
Nepal,2021-02-12,0,272559,2054
Pakistan,2021-02-12,0,561625,12276
Bangladesh,2021-02-13,0,540266,8266
Cambodia,2021-02-13,0,479,0
Indonesia,2021-02-13,415486,1210703,32936
Nepal,2021-02-13,0,272616,2054
Pakistan,2021-02-13,0,563029,12307
Bangladesh,2021-02-14,0,540592,8274
Cambodia,2021-02-14,0,479,0
Indonesia,2021-02-14,425578,1217468,33183
Nepal,2021-02-14,0,272720,2054
Pakistan,2021-02-14,0,564077,12333
