"","Country","Year","Status","Life.expectancy","Adult.Mortality","Alcohol","percentage.expenditure","Hepatitis.B","BMI","Polio","Total.expenditure","Diphtheria","HIV.AIDS","GDP","Population","thinness..1.19.years","thinness.5.9.years","Income.composition.of.resources","Schooling"
"12","Afghanistan",2004,"Developing",57,293,0.02,15.29606643,67,13.8,5,8.79,5,0.1,219.1413528,24118979,19.5,19.7,0.381,6.8
"28","Albania",2004,"Developing",73,17,4.54,221.8428,99,48.9,98,6.38,97,0.1,2416.588235,326939,1.8,1.9,0.681,10.9
"44","Algeria",2004,"Developing",72.3,14,0.45,220.393699,81,47.9,86,3.54,86,0.1,2598.9823,3283196,6.2,6.1,0.673,11.7
"92","Argentina",2004,"Developing",74.7,13,7.63,719.3663797,81,56.3,91,6.84,98,0.1,4251.574348,38728696,1.1,1,0.775,16.3
"108","Armenia",2004,"Developing",73,132,3.81,97.74087744,91,48.4,93,5.5,91,0.1,1191.96192,3612,2,2.1,0.668,10.9
"124","Australia",2004,"Developed",86,69,9.84,588.568371,95,6.9,92,8.57,92,0.1,3472.37977,21274,0.7,0.6,0.908,20.7
"140","Austria",2004,"Developed",79.3,86,12.1,5316.877456,83,52.2,83,1.56,83,0.1,36693.4262,8171966,1.7,1.9,0.841,14.7
"156","Azerbaijan",2004,"Developing",68.4,154,0.62,8.59680496,5,44.2,78,7.92,77,0.1,145.2163,8365,3,3,0.668,11
"204","Bangladesh",2004,"Developing",67.3,158,0.01,4.11469667,11,12,88,2.62,99,0.1,46.7579167,14137489,2.1,2.7,0.491,8.1
"236","Belarus",2004,"Developing",68.2,247,12.05,42.33443901,99,56.2,99,6.59,99,0.1,2378.33927,973146,2.4,2.5,0.703,14.1
"252","Belgium",2004,"Developed",78.8,91,12.05,5160.508378,64,59.8,96,9.32,95,0.1,35589.71295,1421137,0.8,0.8,0.88,18.8
"268","Belize",2004,"Developing",68.7,197,6.2,325.6807462,97,43.2,97,4.39,97,0.8,3831.53819,27689,3.6,3.5,0.691,12.5
"284","Benin",2004,"Developing",56.1,285,1.15,10.73628066,75,2.1,74,4.56,72,2.1,583.493514,7754,8.9,8.8,0.423,8.1
"300","Bhutan",2004,"Developing",64.2,263,0.96,2.586698228,89,16.1,9,4.41,89,0.3,197.45788,64282,18,18.8,0,8.8
"332","Bosnia and Herzegovina",2004,"Developing",75.5,99,4.25,3.479918859,36,49.9,87,9.4,84,0.1,265.642661,3781287,3,3,0,12.3
"348","Botswana",2004,"Developing",48.1,652,4.9,469.5823898,91,32.2,96,5.56,96,28.4,4896.583835,182933,1.5,1.4,0.58,11.8
"364","Brazil",2004,"Developing",72,17,6.85,186.6090485,96,46.9,99,7.7,99,0.1,3623.47667,184738458,3.2,3.2,0.695,14
"396","Bulgaria",2004,"Developed",72.2,157,10.96,384.1473028,94,59.1,94,7.9,95,0.1,3381.57837,771686,2.3,2.3,0.738,13.3
"428","Burundi",2004,"Developing",52.6,378,5.72,11.22655347,83,13.8,76,7.1,83,4.8,127.4296648,7182451,8.4,8.4,0.279,5.2
"460","Cabo Verde",2004,"Developing",71.4,14,4.19,240.139715,91,23.7,94,5.6,93,0.8,1976.45856,467664,8.7,8.7,0.574,11.1
"508","Canada",2004,"Developing",80,77,7.8,5513.329924,14,6.6,91,9.56,91,0.1,31979.87195,31995,0.5,0.4,0.881,15.8
"572","China",2004,"Developing",73.5,11,3.04,1.58668462,79,23.4,87,4.72,87,0.1,158.668462,129675,5.1,4.6,0.622,10.2
"588","Colombia",2004,"Developing",72.8,148,4.26,42.17956418,89,49.8,89,5.37,89,0.1,274.249442,42724163,2.4,2.2,0.658,11.3
"604","Comoros",2004,"Developing",59.8,269,0.27,7.212110766,77,18.8,73,3.96,76,0.1,616.4197236,597228,7.5,7.5,0,9.5
"637","Costa Rica",2004,"Developing",77.7,12,4.09,1043.10795,89,49.3,9,7.8,9,0.1,4425.57467,418738,2.1,2,0.719,12.2
"685","Cyprus",2004,"Developed",78.6,65,13.03,1586.724172,88,54.8,98,6.42,98,0.1,23932.49128,1141,0.9,1,0.823,13.4
"782","Dominican Republic",2004,"Developing",69.3,214,5.16,182.6162515,82,47.2,66,4.28,79,2.1,2421.9662,912998,3.6,3.5,0.666,12.5
"798","Ecuador",2004,"Developing",74.4,148,3.65,16.37920405,88,46.5,9,6.22,88,0.3,278.557892,1359647,1.5,1.3,0.682,12.7
"830","El Salvador",2004,"Developing",70,215,2.9,398.6058322,9,48.6,9,7.3,9,0.3,2632.79942,6775,1.9,1.8,0.636,12.4
"862","Eritrea",2004,"Developing",59.1,342,0.64,10.26097341,84,13.6,98,3.14,98,1.8,287.4222243,3858623,9.6,9.6,0,5
"878","Estonia",2004,"Developing",72.3,195,15.07,101.1201161,9,55.2,95,5.13,94,0.1,885.465115,136255,2.2,2.3,0.805,15.7
"910","Fiji",2004,"Developing",68.1,218,1.63,43.99452464,99,54.2,96,3.61,95,0.1,3332.918533,818354,4.2,3.9,0.691,13.4
"942","France",2004,"Developing",82,94,13.18,5291.234786,35,57,99,1.53,98,0.1,33874.74255,6274897,0.6,0.6,0.857,15.5
"990","Georgia",2004,"Developing",72.3,134,3.74,7.132564768,64,48.1,66,8.53,78,0.1,127.367228,4245,2.8,3,0.694,12
"1006","Germany",2004,"Developed",79.1,86,11.83,5842.374765,88,57.1,96,1.37,96,0.1,34165.9343,8251626,1.1,1.1,0.877,16.4
"1022","Ghana",2004,"Developing",58.3,34,1.46,53.23775977,8,21.8,81,3.96,8,3.2,423.1936389,2986536,8.4,8.3,0.491,7.7
"1038","Greece",2004,"Developing",79.2,81,9.56,287.6124519,92,59.9,95,8.3,95,0.1,21955.149,1955141,0.8,0.8,0.83,15.3
"1118","Guyana",2004,"Developing",65.1,237,7.84,1.776181042,91,38.4,91,5.73,91,1.9,145.58861,751652,5.8,5.6,0.613,11.2
"1150","Honduras",2004,"Developing",72.2,165,3.02,188.2499208,93,42,94,7.89,94,1.2,1217.657961,724153,2.6,2.5,0.571,10.4
"1198","India",2004,"Developing",64,214,1.2,27.33800857,6,13,58,4.22,63,0.3,621.3183767,1126135777,27.2,28.2,0.518,9.2
"1214","Indonesia",2004,"Developing",65.3,213,0.06,55.36107207,64,18.2,79,2.37,71,0.1,1148.56996,223614649,1.9,1.9,0.624,11
"1246","Iraq",2004,"Developing",67.2,21,0.32,44.12059646,62,51.9,69,5.61,74,0.1,1391.816923,2631669,5.4,5.2,0.603,9.8
"1278","Israel",2004,"Developing",81,69,2.23,1895.342792,99,6.1,95,7.35,95,0.1,19888.172,689,1.1,1.1,0.863,15.9
"1294","Italy",2004,"Developed",89,66,8.98,4270.914882,96,57.6,97,8.49,94,0.1,31174.56118,57685327,0.5,0.5,0.846,15.6
"1310","Jamaica",2004,"Developing",73.3,165,3.67,192.3226305,98,45.4,97,4.8,98,2.3,3719.97351,2728777,1.9,1.8,0.689,11.1
"1342","Jordan",2004,"Developing",72.5,125,0.54,32.52523612,95,57,95,9.5,95,0.1,261.456882,5535595,3.9,3.8,0.723,13.5
"1358","Kazakhstan",2004,"Developing",64.7,287,6.55,33.91660183,99,45.8,99,3.95,82,0.1,2874.288291,1512985,2.5,2.6,0.725,13.5
"1374","Kenya",2004,"Developing",53,432,1.43,36.29775249,73,15.9,73,4.29,73,13.2,458.8843551,3574931,8.7,8.6,0.461,8.9
"1390","Kiribati",2004,"Developing",64.8,214,0.48,10.6242741,67,71.4,61,1.39,62,0.1,113.6286,9542,0.2,0.2,0,12.4
"1454","Latvia",2004,"Developed",71,26,8.81,80.0328375,98,56.6,99,6.51,99,0.1,6351.8125,2263122,2.5,2.6,0.776,15.5
"1470","Lebanon",2004,"Developing",73.7,13,2.1,618.3614858,75,6.2,74,8.91,75,0.1,5424.22356,3863267,4.7,4.6,0,14.2
"1486","Lesotho",2004,"Developing",44.8,666,1.8,67.91361818,6,26.9,89,6.96,9,34.6,781.5145936,1933728,9.7,9.7,0.439,10.7
"1534","Lithuania",2004,"Developed",71.6,24,12.1,76.36187737,94,58.1,9,5.67,94,0.1,676.966998,337775,3.1,3.1,0.792,16.3
"1550","Luxembourg",2004,"Developed",78.7,92,12.42,12372.05188,94,56.4,99,8.2,99,0.1,75716.3518,45895,1,0.9,0.867,13.5
"1566","Madagascar",2004,"Developing",64,267,0.81,23.72796328,71,15.4,74,4.89,78,0.6,245.1235876,1782997,8.2,8.1,0.466,8.7
"1582","Malawi",2004,"Developing",45.1,615,1.11,58.13583343,89,15.5,94,7.82,89,23.4,274.2256294,1267638,7.5,7.4,0.366,10
"1598","Malaysia",2004,"Developing",73.2,137,0.49,315.6639322,94,29.8,95,3.74,95,0.1,4955.477743,2517419,9.2,8.9,0.731,12.7
"1614","Maldives",2004,"Developing",73.4,16,1.6,611.9093566,97,17.3,96,5.89,96,0.1,3853.33348,312,14.5,14.6,0.617,12.2
"1630","Mali",2004,"Developing",52.8,296,0.49,57.11644801,73,17.5,7,6.28,69,2,439.3572924,1239196,1.1,1,0.333,5.5
"1646","Malta",2004,"Developed",78.7,69,6.53,203.3157499,85,64.5,89,8.46,89,0.1,1519.5497,41268,0.7,0.7,0.797,14.2
"1679","Mauritius",2004,"Developing",71.9,168,4.16,509.3899943,98,27.5,98,4.29,98,0.1,5229.876738,12213,7.8,7.7,0.696,12.8
"1695","Mexico",2004,"Developing",75.4,124,4.9,920.8284115,98,55.7,98,6.11,98,0.1,7199.59665,16995583,1.8,1.8,0.714,12.1
"1728","Mongolia",2004,"Developing",64,284,1.75,73.24150483,98,41.3,99,5.99,99,0.1,797.8377432,2496832,2.3,2.4,0.621,11.2
"1760","Morocco",2004,"Developing",72,142,0.56,100.3638322,95,48.2,97,5.22,97,0.1,1948.812275,3179285,6.5,6.4,0.561,9.6
"1776","Mozambique",2004,"Developing",54,429,1.54,46.58195631,76,18.1,69,5.91,83,15.9,336.3318145,231275,3.9,3.8,0.332,7
"1792","Myanmar",2004,"Developing",63.5,228,0.44,4.15451614,39,15.7,92,1.97,82,0.5,219.8156688,487377,13.3,13.6,0.455,7.8
"1825","Nepal",2004,"Developing",64.7,218,0.21,31.93187316,27,13.4,8,5.82,8,0.2,287.4156,2539449,17.8,18.4,0.463,9.3
"1873","Nicaragua",2004,"Developing",71,194,3.81,36.81621175,79,45.7,8,6.13,79,0.3,191.55157,53973,2.1,2,0.587,11
"1954","Pakistan",2004,"Developing",63.7,183,0.01,28.98323119,65,18.4,65,2.56,65,0.1,649.848233,15783,21.4,21.8,0.474,5.6
"1971","Panama",2004,"Developing",75.8,123,5.69,527.60848,95,49.5,92,8.9,95,0.2,4591.892776,3269541,2.2,2.1,0.733,12.8
"1987","Papua New Guinea",2004,"Developing",59.9,314,0.58,158.001946,6,4.4,59,8.39,62,1.5,637.3616215,6161517,1.5,1.4,0.439,7.6
"2003","Paraguay",2004,"Developing",71.9,165,6.2,20.60083027,9,42,92,5.78,92,0.2,148.527976,57374,2.3,2.2,0.639,12.1
"2019","Peru",2004,"Developing",72.2,151,4.27,356.9393805,92,48.1,81,4.56,86,0.4,2448.143899,27273194,1.3,1.3,0.685,12.8
"2035","Philippines",2004,"Developing",67.3,218,4.45,13.39905105,48,19.6,85,3.23,88,0.1,179.3715,84678493,1,9.7,0.636,11.6
"2051","Poland",2004,"Developed",74.9,143,9.19,648.0743453,98,55,99,6.19,99,0.1,6681.178818,38182222,2.4,2.5,0.8,15.5
"2067","Portugal",2004,"Developed",78,99,13.45,276.0999798,94,53.3,95,9.84,95,0.1,1845.5881,1483861,0.7,0.6,0.792,15.9
"2131","Romania",2004,"Developed",71.7,165,9.82,431.3250367,99,53.4,97,5.43,97,0.1,3552.92452,21451748,3.4,3.9,0.733,12.9
"2147","Russian Federation",2004,"Developing",64.9,321,11.5,46.51559476,96,55,98,5.19,97,0.3,412.372294,1446754,2.5,2.8,0.741,13.6
"2163","Rwanda",2004,"Developing",53.4,397,6.75,31.93566186,89,14.9,89,6.24,89,7.7,236.9114381,8818438,6.9,7.1,0.371,8.2
"2212","Samoa",2004,"Developing",71.4,162,3.62,310.6117683,54,68.9,26,4.45,55,0.1,2351.33814,178781,0.2,0.2,0.665,12.4
"2229","Sao Tome and Principe",2004,"Developing",63.8,224,5.78,9.013493879,7,22.8,99,9.94,96,1.6,693.345683,151969,7.2,7.2,0.509,9.8
"2261","Senegal",2004,"Developing",59.7,247,0.35,66.02236299,54,19.1,87,5.68,87,0.7,733.581811,1955944,11.6,11.5,0.408,6.2
"2277","Serbia",2004,"Developing",73,134,7.42,462.7076756,89,53.3,96,8.24,88,0.1,3331.228766,7463157,2.6,2.6,0.72,13.1
"2293","Seychelles",2004,"Developing",72.1,186,7.91,12.94324581,99,29.2,99,4.17,99,0.1,1176.65871,82475,6,6.4,0.715,12.3
"2373","Solomon Islands",2004,"Developing",67.1,29,1.18,195.5259417,81,41.3,89,5.64,9,0.1,818.442619,458324,1.3,1.3,0.459,8.1
"2405","South Africa",2004,"Developing",53.7,497,6.96,622.043809,76,42.9,73,7.93,74,29.7,4863.51688,4717.99,12.6,15,0.611,12.9
"2437","Spain",2004,"Developed",81,79,11.96,3715.370095,97,59.9,97,8.5,97,0.1,24918.64584,42921895,0.6,0.5,0.833,15.6
