X,Y,publicaddress,caseNumber,precinct,reportedDate,reportedTime,beginDate,reportedDateTime,beginTime,offense,description,UCRCode,enteredDate,centergbsid,centerLong,centerLat,centerX,centerY,neighborhood,lastchanged,LastUpdateDateETL,OBJECTID
-93.2727418901146,44.9617958816265,0020XX 3RD AVE S,MP202312797,5,2023/01/17 00:00:00+00,900,2023/01/16 00:00:00+00,2023/01/17 09:00:00+00,2000,TMVP,THEFT-MOTR VEH PARTS,07 ,2023/01/18 00:00:00+00,,-93.27274,44.9618,-10383074.1320762,5615509.03349329,Whittier,2023/01/24 00:00:00+00,2023/01/25 07:03:19+00,1
-93.288017151328,44.9600203773246,0023XX LYNDALE AVE S,MP202314007,5,2023/01/18 00:00:00+00,1800,2023/01/18 00:00:00+00,2023/01/18 18:00:00+00,1800,AUTOTH,AUTOMOBILE THEFT,08 ,2023/01/20 00:00:00+00,,-93.28802,44.96002,-10384774.5663658,5615229.70717379,Whittier,2023/01/20 00:00:00+00,2023/01/21 07:01:58+00,2
-93.3034361178339,45.0344064970138,0043XX LOGAN AVE N,MP202314426,4,2023/01/19 00:00:00+00,523,2023/01/18 00:00:00+00,2023/01/19 05:23:00+00,1900,AUTOTH,AUTOMOBILE THEFT,08 ,2023/01/20 00:00:00+00,,-93.30344,45.03441,-10386490.9979176,5626939.71230607,Webber - Camden,2023/01/20 00:00:00+00,2023/01/21 07:01:58+00,3
-93.2297378639025,44.9080667674257,0052XX 30TH AVE S,MP202314620,3,2023/01/19 00:00:00+00,1609,2023/01/19 00:00:00+00,2023/01/19 16:09:00+00,1103,AUTOTH,AUTOMOBILE THEFT,08 ,2023/01/20 00:00:00+00,,-93.22974,44.90807,-10378286.9457916,5607060.07285818,Keewaydin,2023/01/20 00:00:00+00,2023/01/21 07:01:58+00,4
-93.2385414444167,44.9627523282479,0023XX FRANKLIN AVE E,MP202314622,3,2023/01/19 00:00:00+00,1406,2023/01/19 00:00:00+00,2023/01/19 14:06:00+00,511,THEFT,OTHER THEFT,07 ,2023/01/20 00:00:00+00,,-93.23854,44.96275,-10379266.9559389,5615659.50743328,Seward,2023/01/20 00:00:00+00,2023/01/21 07:01:58+00,5
-93.2677034067727,44.952832801881,0027XX PORTLAND AVE,MP202314706,3,2023/01/19 00:00:00+00,1409,2023/01/19 00:00:00+00,2023/01/19 14:09:00+00,100,AUTOTH,AUTOMOBILE THEFT,08 ,2023/01/20 00:00:00+00,,-93.2677,44.95283,-10382513.2507452,5614099.0301225,Phillips West,2023/01/20 00:00:00+00,2023/01/21 07:01:58+00,6
-93.2879914963418,45.0068139274068,0026XX LYNDALE AVE N,MP202314723,4,2023/01/19 00:00:00+00,1325,2021/10/31 00:00:00+00,2023/01/19 13:25:00+00,1800,TFMV,THEFT FROM MOTR VEHC,07 ,2023/01/20 00:00:00+00,,-93.28799,45.00681,-10384771.7104908,5622594.26339827,Hawthorne,2023/01/20 00:00:00+00,2023/01/21 07:01:58+00,7
-93.2994920016969,44.9901717083238,0012XX IRVING AVE N,MP202314735,4,2023/01/19 00:00:00+00,1436,2023/01/09 00:00:00+00,2023/01/19 14:36:00+00,1436,AUTOTH,AUTOMOBILE THEFT,08 ,2023/01/20 00:00:00+00,,-93.29949,44.99017,-10386051.940895,5619974.35547674,Near - North,2023/01/20 00:00:00+00,2023/01/21 07:01:58+00,8
-93.2425058301398,44.9633812779873,0009XX 21ST AVE S,MP202314736,3,2023/01/19 00:00:00+00,1337,2023/01/19 00:00:00+00,2023/01/19 13:37:00+00,1100,BURGB,BURGLARY OF BUSINESS,06 ,2023/01/20 00:00:00+00,,-93.24251,44.96338,-10379708.2693058,5615758.4589067,Seward,2023/01/20 00:00:00+00,2023/01/21 07:01:58+00,9
-93.2880625485892,45.023929250908,DOWLING AVE N / LYNDALE AVE N,MP202314769,4,2023/01/19 00:00:00+00,1415,2023/01/14 00:00:00+00,2023/01/19 14:15:00+00,300,TFMV,THEFT FROM MOTR VEHC,07 ,2023/01/20 00:00:00+00,,-93.28806,45.02393,-10384779.62,5625289.444,Webber - Camden,2023/01/20 00:00:00+00,2023/01/21 07:01:58+00,10
-93.2486683655153,44.9438352756091,0032XX 18TH AVE S,MP202314789,3,2023/01/19 00:00:00+00,1529,2023/01/19 00:00:00+00,2023/01/19 15:29:00+00,1505,CARJCK,ROBBERY INCLUDING AUTO THEFT,,2023/01/20 00:00:00+00,,-93.24867,44.94384,-10380394.2796076,5612683.8293391,Powderhorn Park,2023/01/20 00:00:00+00,2023/01/21 07:01:58+00,11
-93.2389200537662,44.94213613201,0033XX 23RD AVE S,MP202314798,3,2023/01/19 00:00:00+00,1505,2023/01/19 00:00:00+00,2023/01/19 15:05:00+00,1450,ROBPAG,ROBBERY PER AGG,04 ,2023/01/20 00:00:00+00,,-93.23892,44.94214,-10379309.102518,5612416.5997225,Corcoran,2023/01/20 00:00:00+00,2023/01/21 07:01:58+00,12
-93.2518644158877,44.9483670624721,0015XX LAKE ST E,MP202314823,3,2023/01/19 00:00:00+00,1539,2023/01/19 00:00:00+00,2023/01/19 15:39:00+00,1330,AUTOTH,AUTOMOBILE THEFT,08 ,2023/01/20 00:00:00+00,,-93.25186,44.94837,-10380750.0623359,5613396.5961874,Powderhorn Park,2023/01/20 00:00:00+00,2023/01/21 07:01:58+00,13
-93.2628707876494,44.8934136197258,0060XX CHICAGO AVE,MP202314837,3,2023/01/19 00:00:00+00,1704,2023/01/19 00:00:00+00,2023/01/19 17:04:00+00,1300,AUTOTH,AUTOMOBILE THEFT,08 ,2023/01/20 00:00:00+00,,-93.26287,44.89341,-10381975.2860138,5604757.22071312,Diamond Lake,2023/01/20 00:00:00+00,2023/01/21 07:01:58+00,14
-93.2524823669716,44.9510061941201,0028XX BLOOMINGTON AVE,MP202314852,3,2023/01/19 00:00:00+00,1707,2023/01/18 00:00:00+00,2023/01/19 17:07:00+00,1900,AUTOTH,AUTOMOBILE THEFT,08 ,2023/01/20 00:00:00+00,,-93.25248,44.95101,-10380818.8522726,5613811.70911293,East Phillips,2023/01/20 00:00:00+00,2023/01/21 07:01:58+00,15
-93.2480494855733,44.948370212747,0018XX LAKE ST E,MP202314858,3,2023/01/19 00:00:00+00,1728,2023/01/19 00:00:00+00,2023/01/19 17:28:00+00,1620,AUTOTH,AUTOMOBILE THEFT,08 ,2023/01/20 00:00:00+00,,-93.24805,44.94837,-10380325.3862079,5613397.09173476,Powderhorn Park,2023/01/20 00:00:00+00,2023/01/21 07:01:58+00,16
-93.2581824190961,44.9684206178699,0014XX 11TH AVE S,MP202314862,1,2023/01/19 00:00:00+00,1737,2023/01/18 00:00:00+00,2023/01/19 17:37:00+00,2200,AUTOTH,AUTOMOBILE THEFT,08 ,2023/01/20 00:00:00+00,,-93.25818,44.96842,-10381453.3792186,5616551.32811461,Elliot Park,2023/01/20 00:00:00+00,2023/01/21 07:01:58+00,17
-93.2796336329221,44.9564290920068,0025XX BLAISDELL AVE,MP202314868,5,2023/01/19 00:00:00+00,1700,2023/01/12 00:00:00+00,2023/01/19 17:00:00+00,1200,BURGD,BURGLARY OF DWELLING,06 ,2023/01/20 00:00:00+00,,-93.27963,44.95643,-10383841.3173571,5614664.74461161,Whittier,2023/01/20 00:00:00+00,2023/01/21 07:01:58+00,18
-93.2812810272705,44.95822018214,0024XX PILLSBURY AVE,MP202314904,5,2023/01/19 00:00:00+00,2215,2023/01/14 00:00:00+00,2023/01/19 22:15:00+00,1200,THEFT,OTHER THEFT,07 ,2023/01/20 00:00:00+00,,-93.28128,44.95822,-10384024.7045111,5614946.50529274,Whittier,2023/01/20 00:00:00+00,2023/01/21 07:01:58+00,19
-93.2094991286734,44.9483480870687,0044XX LAKE ST E,MP202314909,3,2023/01/19 00:00:00+00,1735,2022/12/31 00:00:00+00,2023/01/19 17:35:00+00,900,AUTOTH,AUTOMOBILE THEFT,08 ,2023/01/20 00:00:00+00,,-93.2095,44.94835,-10376033.9801384,5613393.6115839,Cooper,2023/01/20 00:00:00+00,2023/01/21 07:01:58+00,20
-93.2257969520561,44.9026463353867,0055XX 32ND AVE S,MP202314923,3,2023/01/19 00:00:00+00,1819,2023/01/17 00:00:00+00,2023/01/19 18:19:00+00,1819,TMVP,THEFT-MOTR VEH PARTS,07 ,2023/01/20 00:00:00+00,,-93.2258,44.90265,-10377848.2454984,5606208.14288709,Wenonah,2023/01/20 00:00:00+00,2023/01/21 07:01:58+00,21
-93.2345772886623,44.9639723273975,0025XX 9TH ST S,MP202314926,3,2023/01/19 00:00:00+00,1842,2023/01/18 00:00:00+00,2023/01/19 18:42:00+00,1900,AUTOTH,AUTOMOBILE THEFT,08 ,2023/01/20 00:00:00+00,,-93.23458,44.96397,-10378825.6681372,5615851.44859403,Seward,2023/01/20 00:00:00+00,2023/01/21 07:01:58+00,22
-93.2651103640095,44.9618001015622,0020XX PARK AVE,MP202315029,3,2023/01/19 00:00:00+00,2019,2023/01/19 00:00:00+00,2023/01/19 20:19:00+00,1645,AUTOTH,AUTOMOBILE THEFT,08 ,2023/01/20 00:00:00+00,,-93.26511,44.9618,-10382224.5945047,5615509.69738863,Ventura Village,2023/01/20 00:00:00+00,2023/01/21 07:01:58+00,23
