x,y,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,100_149_above_pov_level,below_pov_level,med_income,total_asian,total_black,total_employed,total_female,total_hispanic,total_islander,total_labor_force,total_male,total_native,total_not_hispanic,total_otherrace,total_pop,total_unemployed,total_white,perc_unemployed,FID,BDNUM,Shape_STAr,Shape_STLe,SHAPE_Leng,SHAPE_Area,id
-93.2493452516394,44.99013660192759,27,053,103700,27053103700,1037,Census Tract 1037,G5020,S,820085,93489,+44.9871608,-093.2508516,295,640,37793,212,447,3039,1808,229,0,3219,2336,176,3915,66,4144,180,3527,0.05591798695246971,3,3,106205654.162,57104.3487291,0.18869988753608,0.001125760273362,1
-93.25276956004971,44.983102119460575,27,053,103700,27053103700,1037,Census Tract 1037,G5020,S,820085,93489,+44.9871608,-093.2508516,295,640,37793,212,447,3039,1808,229,0,3219,2336,176,3915,66,4144,180,3527,0.05591798695246971,3,3,106205654.162,57104.3487291,0.18869988753608,0.001125760273362,1
-93.25536971210592,44.98572132428146,27,053,103700,27053103700,1037,Census Tract 1037,G5020,S,820085,93489,+44.9871608,-093.2508516,295,640,37793,212,447,3039,1808,229,0,3219,2336,176,3915,66,4144,180,3527,0.05591798695246971,3,3,106205654.162,57104.3487291,0.18869988753608,0.001125760273362,1
-93.29810619117914,44.981524837836204,27,053,104100,27053104100,1041,Census Tract 1041,G5020,S,1458748,12990,+44.9803177,-093.3038342,642,1035,31607,357,1780,1784,1666,284,0,1858,1919,148,3301,41,3585,74,1546,0.03982777179763186,8,5,135479025.785,51967.1532869,0.1718428697606,0.001436178384364,2
-93.3112378457407,44.98122685916317,27,053,104100,27053104100,1041,Census Tract 1041,G5020,S,1458748,12990,+44.9803177,-093.3038342,642,1035,31607,357,1780,1784,1666,284,0,1858,1919,148,3301,41,3585,74,1546,0.03982777179763186,8,5,135479025.785,51967.1532869,0.1718428697606,0.001436178384364,2
-93.31098368465153,44.980980838020905,27,053,104100,27053104100,1041,Census Tract 1041,G5020,S,1458748,12990,+44.9803177,-093.3038342,642,1035,31607,357,1780,1784,1666,284,0,1858,1919,148,3301,41,3585,74,1546,0.03982777179763186,8,5,135479025.785,51967.1532869,0.1718428697606,0.001436178384364,2
-93.30548419831133,44.9824830275259,27,053,104100,27053104100,1041,Census Tract 1041,G5020,S,1458748,12990,+44.9803177,-093.3038342,642,1035,31607,357,1780,1784,1666,284,0,1858,1919,148,3301,41,3585,74,1546,0.03982777179763186,8,5,135479025.785,51967.1532869,0.1718428697606,0.001436178384364,2
-93.30463036888048,44.97672474549049,27,053,104100,27053104100,1041,Census Tract 1041,G5020,S,1458748,12990,+44.9803177,-093.3038342,642,1035,31607,357,1780,1784,1666,284,0,1858,1919,148,3301,41,3585,74,1546,0.03982777179763186,8,5,135479025.785,51967.1532869,0.1718428697606,0.001436178384364,2
-93.27390725567862,44.97122871693055,27,053,104400,27053104400,1044,Census Tract 1044,G5020,S,788033,0,+44.9747429,-093.2742798,143,547,49635,276,543,1524,923,122,0,1594,1324,66,2125,90,2247,70,1359,0.043914680050188205,3,3,106205654.162,57104.3487291,0.18869988753608,0.001125760273362,3
-93.28038527792653,44.97666309049233,27,053,104400,27053104400,1044,Census Tract 1044,G5020,S,788033,0,+44.9747429,-093.2742798,143,547,49635,276,543,1524,923,122,0,1594,1324,66,2125,90,2247,70,1359,0.043914680050188205,3,3,106205654.162,57104.3487291,0.18869988753608,0.001125760273362,3
