x,y,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,ea_bachelors,ea_doctorate,ea_hsdiplomma,ea_masters,ea_profschool,foodstamp_no,foodstamp_yes,med_hh_income,total_asian,total_black,total_ea,total_employed,total_female,total_foodstamp,total_islander,total_labor_force,total_male,total_native,total_otherrace,total_pop,total_race,total_twoormore,total_unemployed,total_white,perc_unemployed,perc_ba_plus,perc_foodstamp,perc_female,perc_male,herfendahl,FID,BDNUM,Shape_STAr,Shape_STLe,SHAPE_Leng,SHAPE_Area,id
-93.24987317472664,44.93122714928173,27,053,110100,2,270531101002,Block Group 2,G5030,S,242571,0,+44.9323038,-093.2511247,236,9,59,60,0,298,50,104355,21,22,706,592,468,348,0,643,530,0,211,998,998,124,51,620,0.07931570762052877,0.43201133144475923,0.14367816091954022,0.46893787575150303,0.531062124248497,0.43157055594154226,2,9,72901470.953,42091.4463704,0.141295351273311,7.72156509436e-4,206
-93.25180217834644,44.93161133129291,27,053,110100,2,270531101002,Block Group 2,G5030,S,242571,0,+44.9323038,-093.2511247,236,9,59,60,0,298,50,104355,21,22,706,592,468,348,0,643,530,0,211,998,998,124,51,620,0.07931570762052877,0.43201133144475923,0.14367816091954022,0.46893787575150303,0.531062124248497,0.43157055594154226,2,9,72901470.953,42091.4463704,0.141295351273311,7.72156509436e-4,206
-93.25129740009461,44.93300624420852,27,053,110100,2,270531101002,Block Group 2,G5030,S,242571,0,+44.9323038,-093.2511247,236,9,59,60,0,298,50,104355,21,22,706,592,468,348,0,643,530,0,211,998,998,124,51,620,0.07931570762052877,0.43201133144475923,0.14367816091954022,0.46893787575150303,0.531062124248497,0.43157055594154226,2,9,72901470.953,42091.4463704,0.141295351273311,7.72156509436e-4,206
-93.25007789975892,44.93076563509008,27,053,110100,2,270531101002,Block Group 2,G5030,S,242571,0,+44.9323038,-093.2511247,236,9,59,60,0,298,50,104355,21,22,706,592,468,348,0,643,530,0,211,998,998,124,51,620,0.07931570762052877,0.43201133144475923,0.14367816091954022,0.46893787575150303,0.531062124248497,0.43157055594154226,2,9,72901470.953,42091.4463704,0.141295351273311,7.72156509436e-4,206
-93.25371664853324,44.93109057283465,27,053,110100,2,270531101002,Block Group 2,G5030,S,242571,0,+44.9323038,-093.2511247,236,9,59,60,0,298,50,104355,21,22,706,592,468,348,0,643,530,0,211,998,998,124,51,620,0.07931570762052877,0.43201133144475923,0.14367816091954022,0.46893787575150303,0.531062124248497,0.43157055594154226,2,9,72901470.953,42091.4463704,0.141295351273311,7.72156509436e-4,206
-93.24871164951921,44.93139637353905,27,053,110100,2,270531101002,Block Group 2,G5030,S,242571,0,+44.9323038,-093.2511247,236,9,59,60,0,298,50,104355,21,22,706,592,468,348,0,643,530,0,211,998,998,124,51,620,0.07931570762052877,0.43201133144475923,0.14367816091954022,0.46893787575150303,0.531062124248497,0.43157055594154226,2,9,72901470.953,42091.4463704,0.141295351273311,7.72156509436e-4,206
-93.25476959180456,44.93183054601186,27,053,110100,2,270531101002,Block Group 2,G5030,S,242571,0,+44.9323038,-093.2511247,236,9,59,60,0,298,50,104355,21,22,706,592,468,348,0,643,530,0,211,998,998,124,51,620,0.07931570762052877,0.43201133144475923,0.14367816091954022,0.46893787575150303,0.531062124248497,0.43157055594154226,2,9,72901470.953,42091.4463704,0.141295351273311,7.72156509436e-4,206
-93.24842388071416,44.9328038870492,27,053,110100,2,270531101002,Block Group 2,G5030,S,242571,0,+44.9323038,-093.2511247,236,9,59,60,0,298,50,104355,21,22,706,592,468,348,0,643,530,0,211,998,998,124,51,620,0.07931570762052877,0.43201133144475923,0.14367816091954022,0.46893787575150303,0.531062124248497,0.43157055594154226,2,9,72901470.953,42091.4463704,0.141295351273311,7.72156509436e-4,206
-93.25279876769501,44.931195486568,27,053,110100,2,270531101002,Block Group 2,G5030,S,242571,0,+44.9323038,-093.2511247,236,9,59,60,0,298,50,104355,21,22,706,592,468,348,0,643,530,0,211,998,998,124,51,620,0.07931570762052877,0.43201133144475923,0.14367816091954022,0.46893787575150303,0.531062124248497,0.43157055594154226,2,9,72901470.953,42091.4463704,0.141295351273311,7.72156509436e-4,206
-93.24918814453319,44.93295706336294,27,053,110100,2,270531101002,Block Group 2,G5030,S,242571,0,+44.9323038,-093.2511247,236,9,59,60,0,298,50,104355,21,22,706,592,468,348,0,643,530,0,211,998,998,124,51,620,0.07931570762052877,0.43201133144475923,0.14367816091954022,0.46893787575150303,0.531062124248497,0.43157055594154226,2,9,72901470.953,42091.4463704,0.141295351273311,7.72156509436e-4,206
-93.28492605680597,44.92189167655327,27,053,110800,3,270531108003,Block Group 3,G5030,S,328987,0,+44.9232038,-093.2857177,372,48,5,160,46,453,36,83304,0,12,800,563,571,489,0,616,521,0,20,1092,1092,69,53,991,0.08603896103896104,0.7825,0.0736196319018405,0.5228937728937729,0.47710622710622713,0.8240290692213769,5,8,78692295.7498,47568.4066762,0.154031602782364,8.33260686051e-4,214
-93.28456075349825,44.925817638346125,27,053,110800,3,270531108003,Block Group 3,G5030,S,328987,0,+44.9232038,-093.2857177,372,48,5,160,46,453,36,83304,0,12,800,563,571,489,0,616,521,0,20,1092,1092,69,53,991,0.08603896103896104,0.7825,0.0736196319018405,0.5228937728937729,0.47710622710622713,0.8240290692213769,5,8,78692295.7498,47568.4066762,0.154031602782364,8.33260686051e-4,214
-93.28422896389523,44.92287812733637,27,053,110800,3,270531108003,Block Group 3,G5030,S,328987,0,+44.9232038,-093.2857177,372,48,5,160,46,453,36,83304,0,12,800,563,571,489,0,616,521,0,20,1092,1092,69,53,991,0.08603896103896104,0.7825,0.0736196319018405,0.5228937728937729,0.47710622710622713,0.8240290692213769,5,8,78692295.7498,47568.4066762,0.154031602782364,8.33260686051e-4,214
-93.28424884864798,44.920100606438794,27,053,110800,3,270531108003,Block Group 3,G5030,S,328987,0,+44.9232038,-093.2857177,372,48,5,160,46,453,36,83304,0,12,800,563,571,489,0,616,521,0,20,1092,1092,69,53,991,0.08603896103896104,0.7825,0.0736196319018405,0.5228937728937729,0.47710622710622713,0.8240290692213769,5,8,78692295.7498,47568.4066762,0.154031602782364,8.33260686051e-4,214
-93.28585277460408,44.92137913860231,27,053,110800,3,270531108003,Block Group 3,G5030,S,328987,0,+44.9232038,-093.2857177,372,48,5,160,46,453,36,83304,0,12,800,563,571,489,0,616,521,0,20,1092,1092,69,53,991,0.08603896103896104,0.7825,0.0736196319018405,0.5228937728937729,0.47710622710622713,0.8240290692213769,5,8,78692295.7498,47568.4066762,0.154031602782364,8.33260686051e-4,214
-93.2883022758906,44.92453514437973,27,053,110800,3,270531108003,Block Group 3,G5030,S,328987,0,+44.9232038,-093.2857177,372,48,5,160,46,453,36,83304,0,12,800,563,571,489,0,616,521,0,20,1092,1092,69,53,991,0.08603896103896104,0.7825,0.0736196319018405,0.5228937728937729,0.47710622710622713,0.8240290692213769,5,8,78692295.7498,47568.4066762,0.154031602782364,8.33260686051e-4,214
-93.2880869590258,44.9228085282022,27,053,110800,3,270531108003,Block Group 3,G5030,S,328987,0,+44.9232038,-093.2857177,372,48,5,160,46,453,36,83304,0,12,800,563,571,489,0,616,521,0,20,1092,1092,69,53,991,0.08603896103896104,0.7825,0.0736196319018405,0.5228937728937729,0.47710622710622713,0.8240290692213769,5,8,78692295.7498,47568.4066762,0.154031602782364,8.33260686051e-4,214
-93.28597808544424,44.92341842786121,27,053,110800,3,270531108003,Block Group 3,G5030,S,328987,0,+44.9232038,-093.2857177,372,48,5,160,46,453,36,83304,0,12,800,563,571,489,0,616,521,0,20,1092,1092,69,53,991,0.08603896103896104,0.7825,0.0736196319018405,0.5228937728937729,0.47710622710622713,0.8240290692213769,5,8,78692295.7498,47568.4066762,0.154031602782364,8.33260686051e-4,214
-93.28803247862417,44.92575167979233,27,053,110800,3,270531108003,Block Group 3,G5030,S,328987,0,+44.9232038,-093.2857177,372,48,5,160,46,453,36,83304,0,12,800,563,571,489,0,616,521,0,20,1092,1092,69,53,991,0.08603896103896104,0.7825,0.0736196319018405,0.5228937728937729,0.47710622710622713,0.8240290692213769,5,8,78692295.7498,47568.4066762,0.154031602782364,8.33260686051e-4,214
-93.28528461417723,44.921375823794534,27,053,110800,3,270531108003,Block Group 3,G5030,S,328987,0,+44.9232038,-093.2857177,372,48,5,160,46,453,36,83304,0,12,800,563,571,489,0,616,521,0,20,1092,1092,69,53,991,0.08603896103896104,0.7825,0.0736196319018405,0.5228937728937729,0.47710622710622713,0.8240290692213769,5,8,78692295.7498,47568.4066762,0.154031602782364,8.33260686051e-4,214
-93.28188675964324,44.92523326001117,27,053,110800,4,270531108004,Block Group 4,G5030,S,329830,0,+44.9232364,-093.2805311,328,78,58,146,9,511,22,110394,0,48,849,689,661,533,0,689,433,0,11,1094,1094,0,0,1035,0,0.6607773851590106,0.04127579737335835,0.6042047531992687,0.39579524680073125,0.8970736174379781,5,8,78692295.7498,47568.4066762,0.154031602782364,8.33260686051e-4,234
-93.28126554375278,44.920267655890314,27,053,110800,4,270531108004,Block Group 4,G5030,S,329830,0,+44.9232364,-093.2805311,328,78,58,146,9,511,22,110394,0,48,849,689,661,533,0,689,433,0,11,1094,1094,0,0,1035,0,0.6607773851590106,0.04127579737335835,0.6042047531992687,0.39579524680073125,0.8970736174379781,5,8,78692295.7498,47568.4066762,0.154031602782364,8.33260686051e-4,234
-93.28283627580608,44.919865614590314,27,053,110800,4,270531108004,Block Group 4,G5030,S,329830,0,+44.9232364,-093.2805311,328,78,58,146,9,511,22,110394,0,48,849,689,661,533,0,689,433,0,11,1094,1094,0,0,1035,0,0.6607773851590106,0.04127579737335835,0.6042047531992687,0.39579524680073125,0.8970736174379781,5,8,78692295.7498,47568.4066762,0.154031602782364,8.33260686051e-4,234
-93.27855768113669,44.92038816263246,27,053,110800,4,270531108004,Block Group 4,G5030,S,329830,0,+44.9232364,-093.2805311,328,78,58,146,9,511,22,110394,0,48,849,689,661,533,0,689,433,0,11,1094,1094,0,0,1035,0,0.6607773851590106,0.04127579737335835,0.6042047531992687,0.39579524680073125,0.8970736174379781,5,8,78692295.7498,47568.4066762,0.154031602782364,8.33260686051e-4,234
