x,y,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,ea_bachelors,ea_doctorate,ea_hsdiplomma,ea_masters,ea_profschool,foodstamp_no,foodstamp_yes,med_hh_income,total_asian,total_black,total_ea,total_employed,total_female,total_foodstamp,total_islander,total_labor_force,total_male,total_native,total_otherrace,total_pop,total_race,total_twoormore,total_unemployed,total_white,perc_unemployed,perc_ba_plus,perc_foodstamp,perc_female,perc_male,herfendahl,FID,BDNUM,Shape_STAr,Shape_STLe,SHAPE_Leng,SHAPE_Area,id
-93.24989702553934,44.93144618911718,27,053,110100,2,270531101002,Block Group 2,G5030,S,242571,0,+44.9323038,-093.2511247,236,9,59,60,0,298,50,104355,21,22,706,592,468,348,0,643,530,0,211,998,998,124,51,620,0.07931570762052877,0.43201133144475923,0.14367816091954022,0.46893787575150303,0.531062124248497,0.43157055594154226,2,9,72901470.953,42091.4463704,0.141295351273311,7.72156509436e-4,206
-93.25198478409013,44.9332877279035,27,053,110100,2,270531101002,Block Group 2,G5030,S,242571,0,+44.9323038,-093.2511247,236,9,59,60,0,298,50,104355,21,22,706,592,468,348,0,643,530,0,211,998,998,124,51,620,0.07931570762052877,0.43201133144475923,0.14367816091954022,0.46893787575150303,0.531062124248497,0.43157055594154226,2,9,72901470.953,42091.4463704,0.141295351273311,7.72156509436e-4,206
-93.25109631179384,44.931159938974496,27,053,110100,2,270531101002,Block Group 2,G5030,S,242571,0,+44.9323038,-093.2511247,236,9,59,60,0,298,50,104355,21,22,706,592,468,348,0,643,530,0,211,998,998,124,51,620,0.07931570762052877,0.43201133144475923,0.14367816091954022,0.46893787575150303,0.531062124248497,0.43157055594154226,2,9,72901470.953,42091.4463704,0.141295351273311,7.72156509436e-4,206
-93.25017969814988,44.931700492430835,27,053,110100,2,270531101002,Block Group 2,G5030,S,242571,0,+44.9323038,-093.2511247,236,9,59,60,0,298,50,104355,21,22,706,592,468,348,0,643,530,0,211,998,998,124,51,620,0.07931570762052877,0.43201133144475923,0.14367816091954022,0.46893787575150303,0.531062124248497,0.43157055594154226,2,9,72901470.953,42091.4463704,0.141295351273311,7.72156509436e-4,206
-93.25390973304705,44.93286264976664,27,053,110100,2,270531101002,Block Group 2,G5030,S,242571,0,+44.9323038,-093.2511247,236,9,59,60,0,298,50,104355,21,22,706,592,468,348,0,643,530,0,211,998,998,124,51,620,0.07931570762052877,0.43201133144475923,0.14367816091954022,0.46893787575150303,0.531062124248497,0.43157055594154226,2,9,72901470.953,42091.4463704,0.141295351273311,7.72156509436e-4,206
-93.24865151474215,44.930843999537245,27,053,110100,2,270531101002,Block Group 2,G5030,S,242571,0,+44.9323038,-093.2511247,236,9,59,60,0,298,50,104355,21,22,706,592,468,348,0,643,530,0,211,998,998,124,51,620,0.07931570762052877,0.43201133144475923,0.14367816091954022,0.46893787575150303,0.531062124248497,0.43157055594154226,2,9,72901470.953,42091.4463704,0.141295351273311,7.72156509436e-4,206
-93.25468316345246,44.931037431868376,27,053,110100,2,270531101002,Block Group 2,G5030,S,242571,0,+44.9323038,-093.2511247,236,9,59,60,0,298,50,104355,21,22,706,592,468,348,0,643,530,0,211,998,998,124,51,620,0.07931570762052877,0.43201133144475923,0.14367816091954022,0.46893787575150303,0.531062124248497,0.43157055594154226,2,9,72901470.953,42091.4463704,0.141295351273311,7.72156509436e-4,206
-93.2482732746897,44.931420454111155,27,053,110100,2,270531101002,Block Group 2,G5030,S,242571,0,+44.9323038,-093.2511247,236,9,59,60,0,298,50,104355,21,22,706,592,468,348,0,643,530,0,211,998,998,124,51,620,0.07931570762052877,0.43201133144475923,0.14367816091954022,0.46893787575150303,0.531062124248497,0.43157055594154226,2,9,72901470.953,42091.4463704,0.141295351273311,7.72156509436e-4,206
-93.28604949644426,44.922777531530386,27,053,110800,3,270531108003,Block Group 3,G5030,S,328987,0,+44.9232038,-093.2857177,372,48,5,160,46,453,36,83304,0,12,800,563,571,489,0,616,521,0,20,1092,1092,69,53,991,0.08603896103896104,0.7825,0.0736196319018405,0.5228937728937729,0.47710622710622713,0.8240290692213769,5,8,78692295.7498,47568.4066762,0.154031602782364,8.33260686051e-4,214
-93.28483917720459,44.9200679902072,27,053,110800,3,270531108003,Block Group 3,G5030,S,328987,0,+44.9232038,-093.2857177,372,48,5,160,46,453,36,83304,0,12,800,563,571,489,0,616,521,0,20,1092,1092,69,53,991,0.08603896103896104,0.7825,0.0736196319018405,0.5228937728937729,0.47710622710622713,0.8240290692213769,5,8,78692295.7498,47568.4066762,0.154031602782364,8.33260686051e-4,214
