X,Y,PoliceUseOfForceID,CaseNumber,ResponseDate,Problem,Is911Call,PrimaryOffense,SubjectInjury,ForceReportNumber,SubjectRole,SubjectRoleNumber,ForceType,ForceTypeAction,Race,Sex,EventAge,TypeOfResistance,Precinct,Neighborhood,TotalCityCallsForYear,TotalPrecinctCallsForYear,TotalNeighborhoodCallsForYear,CenterGBSID,CenterLatitude,CenterLongitude,CenterX,CenterY,DateAdded,OBJECTID,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,ea_bachelors,ea_doctorate,ea_hsdiplomma,ea_masters,ea_profschool,foodstamp_no,foodstamp_yes,med_hh_income,total_asian,total_black,total_ea,total_employed,total_female,total_foodstamp,total_islander,total_labor_force,total_male,total_native,total_otherrace,total_pop,total_race,total_twoormore,total_unemployed,total_white,perc_unemployed,perc_ba_plus,perc_foodstamp,perc_female,perc_male,herfendahl,FID,BDNUM,Shape_STAr,Shape_STLe,SHAPE_Leng,SHAPE_Area,id
-93.2606049211942,44.9323443190295,43602539,08-050899,2008/02/22 18:29:48+00,Traffic Law Enforcement ,No,NARC,Yes,1,A,1,Bodily Force,Body Weight to Pin,Black,Male,21,Unspecified,03,Bancroft,322402,84018,1188,12545,44.932344,-93.260605,-10381723.0509,5610876.7649,2023/01/02 08:19:26+00,65,27,053,009600,3,270530096003,Block Group 3,G5030,S,238467,0,+44.9323415,-093.2587032,260,13,22,92,0,317,24,76510,0,15,560,438,364,341,0,460,321,0,15,685,685,55,22,600,0.04782608695652174,0.6517857142857143,0.07038123167155426,0.5313868613138686,0.4686131386861314,0.7681815760029836,2,9,72901470.953,42091.4463704,0.141295351273311,7.72156509436e-4,2233
-93.2821848465323,44.948354568817,43602549,08-025965,2008/01/27 10:15:43+00,Suspicious Vehicle ,No,NOINS,No,1,A,1,Bodily Force,Push Away,White,Male,42,Unspecified,05,Lyndale,322402,55689,7628,19784,44.948355,-93.282185,-10384125.3172,5613394.6311,2023/01/02 08:19:26+00,75,27,053,008200,1,270530082001,Block Group 1,G5030,S,161043,0,+44.9465498,-093.2804888,45,0,197,86,0,474,536,21197,20,701,1218,648,830,1010,0,758,1007,23,56,1837,1837,256,110,781,0.14511873350923482,0.10755336617405582,0.5306930693069307,0.4518236254763201,0.54817637452368,0.3275757585635381,5,8,78692295.7498,47568.4066762,0.154031602782364,8.33260686051e-4,2223
-93.2821848465323,44.948354568817,43602619,08-025965,2008/01/27 10:15:43+00,Suspicious Vehicle ,No,NOINS,No,1,A,1,Bodily Force,Body Weight to Pin,White,Male,42,Unspecified,05,Lyndale,322402,55689,7628,19784,44.948355,-93.282185,-10384125.3172,5613394.6311,2023/01/02 08:19:26+00,145,27,053,008200,1,270530082001,Block Group 1,G5030,S,161043,0,+44.9465498,-093.2804888,45,0,197,86,0,474,536,21197,20,701,1218,648,830,1010,0,758,1007,23,56,1837,1837,256,110,781,0.14511873350923482,0.10755336617405582,0.5306930693069307,0.4518236254763201,0.54817637452368,0.3275757585635381,5,8,78692295.7498,47568.4066762,0.154031602782364,8.33260686051e-4,2223
-93.2740690584205,44.9374579142481,43602621,08-041209,2008/02/11 22:14:28+00,Traffic Law Enforcement ,No,OBSTRU,No,1,A,1,Bodily Force,Body Weight to Pin,Black,Male,28,Tensed,03,Central,322402,84018,10923,17444,44.937458,-93.274069,-10383221.8718,5611680.8827,2023/01/02 08:19:26+00,147,27,053,109400,2,270531094002,Block Group 2,G5030,S,221146,0,+44.9359485,-093.2710531,92,0,85,19,0,203,82,75865,6,312,561,555,684,285,0,628,451,12,69,1135,1135,190,73,546,0.11624203821656051,0.19786096256684493,0.28771929824561404,0.6026431718061674,0.3973568281938326,0.31081604533369556,2,9,72901470.953,42091.4463704,0.141295351273311,7.72156509436e-4,1528
-93.2788078386308,44.9483470443941,43602648,08-063806,2008/03/06 13:34:25+00,Unwanted Person ,Yes,FORCE,No,1,OT,1,Bodily Force,LVNR1,White,Male,50,Verbal Non-Compliance,05,Lyndale,322402,55689,7628,21928,44.948347,-93.278808,-10383749.3904,5613393.4476,2023/01/02 08:19:26+00,174,27,053,008200,1,270530082001,Block Group 1,G5030,S,161043,0,+44.9465498,-093.2804888,45,0,197,86,0,474,536,21197,20,701,1218,648,830,1010,0,758,1007,23,56,1837,1837,256,110,781,0.14511873350923482,0.10755336617405582,0.5306930693069307,0.4518236254763201,0.54817637452368,0.3275757585635381,5,8,78692295.7498,47568.4066762,0.154031602782364,8.33260686051e-4,2223
-93.2842981000006,44.947480649619,43602670,08-038586,2008/02/08 22:29:54+00,Fight ,Yes,PRIORI,Yes,2,V,1,Taser,Firing Darts,Native American,Male,33,Tensed,05,Lyndale,322402,55689,7628,14078,44.947481,-93.284298,-10384360.5635,5613257.1753,2023/01/02 08:19:26+00,196,27,053,008200,4,270530082004,Block Group 4,G5030,S,161337,0,+44.9465518,-093.2855747,78,31,23,20,0,222,60,69318,20,72,426,285,348,282,41,347,281,60,5,629,629,67,62,364,0.1786743515850144,0.3028169014084507,0.2127659574468085,0.5532591414944356,0.4467408585055644,0.3624144110443559,5,8,78692295.7498,47568.4066762,0.154031602782364,8.33260686051e-4,319
-93.2656442013418,44.9341564642526,43602684,08-070162,2008/03/12 18:43:44+00,Traffic Law Enforcement ,No,FLEEFT,,1,A,1,Bodily Force,Joint Lock,Black,Male,23,Fled on Foot,03,Bryant,322402,84018,1869,12365,44.934156,-93.265644,-10382284.021,5611161.7183,2023/01/02 08:19:26+00,210,27,053,009500,3,270530095003,Block Group 3,G5030,S,320098,0,+44.9305525,-093.2650144,270,0,83,171,0,464,44,105982,16,211,1076,872,774,508,0,933,722,8,253,1496,1496,33,61,975,0.06538049303322616,0.40985130111524165,0.08661417322834646,0.517379679144385,0.48262032085561496,0.4733992071549087,5,8,78692295.7498,47568.4066762,0.154031602782364,8.33260686051e-4,2231
-93.2656442013418,44.9341564642526,43602705,08-070162,2008/03/12 18:43:44+00,Traffic Law Enforcement ,No,FLEEFT,,1,A,1,Chemical Irritant,Personal Mace,Black,Male,23,Fled on Foot,03,Bryant,322402,84018,1869,12365,44.934156,-93.265644,-10382284.021,5611161.7183,2023/01/02 08:19:26+00,231,27,053,009500,3,270530095003,Block Group 3,G5030,S,320098,0,+44.9305525,-093.2650144,270,0,83,171,0,464,44,105982,16,211,1076,872,774,508,0,933,722,8,253,1496,1496,33,61,975,0.06538049303322616,0.40985130111524165,0.08661417322834646,0.517379679144385,0.48262032085561496,0.4733992071549087,5,8,78692295.7498,47568.4066762,0.154031602782364,8.33260686051e-4,2231
-93.2681947268426,44.9305485190418,43602709,08-108328,2008/04/17 16:36:11+00,High Risk Warrant Entry ,Yes,AOA,,1,A,1,Bodily Force,Body Weight to Pin,Black,Male,44,Commission of Crime,03,Bryant,322402,84018,1869,16458,44.930549,-93.268195,-10382567.9442,5610594.3906,2023/01/02 08:19:26+00,235,27,053,110000,1,270531100001,Block Group 1,G5030,S,205478,0,+44.9323387,-093.2707865,56,5,82,61,11,246,43,65507,0,315,488,522,460,289,0,580,416,22,201,876,876,63,58,275,0.1,0.2725409836065574,0.14878892733564014,0.5251141552511416,0.4748858447488584,0.28113336877879946,5,8,78692295.7498,47568.4066762,0.154031602782364,8.33260686051e-4,1537
-93.2740690584205,44.9374579142481,43602742,08-041209,2008/02/11 22:14:28+00,Traffic Law Enforcement ,No,OBSTRU,No,1,A,1,Taser,Touch,Black,Male,28,Tensed,03,Central,322402,84018,10923,17444,44.937458,-93.274069,-10383221.8718,5611680.8827,2023/01/02 08:19:26+00,268,27,053,109400,2,270531094002,Block Group 2,G5030,S,221146,0,+44.9359485,-093.2710531,92,0,85,19,0,203,82,75865,6,312,561,555,684,285,0,628,451,12,69,1135,1135,190,73,546,0.11624203821656051,0.19786096256684493,0.28771929824561404,0.6026431718061674,0.3973568281938326,0.31081604533369556,2,9,72901470.953,42091.4463704,0.141295351273311,7.72156509436e-4,1528
