x,y,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,ea_bachelors,ea_doctorate,ea_hsdiplomma,ea_masters,ea_profschool,foodstamp_no,foodstamp_yes,med_hh_income,total_asian,total_black,total_ea,total_employed,total_female,total_foodstamp,total_islander,total_labor_force,total_male,total_native,total_otherrace,total_pop,total_race,total_twoormore,total_unemployed,total_white,perc_unemployed,perc_ba_plus,perc_foodstamp,perc_female,perc_male,herfendahl,FID,BDNUM,Shape_STAr,Shape_STLe,SHAPE_Leng,SHAPE_Area,id
-93.26028214426263,44.94766440843802,27,053,008500,4,270530085004,Block Group 4,G5030,S,201498,0,+44.9474590,-093.2563118,210,0,35,23,0,210,74,59375,3,58,494,358,411,284,0,403,417,0,310,828,828,110,45,347,0.11166253101736973,0.4716599190283401,0.2605633802816901,0.4963768115942029,0.5036231884057971,0.32072218721557094,2,9,72901470.953,42091.4463704,0.141295351273311,7.72156509436e-4,2235
-93.23554871156507,44.938777441475224,27,053,108700,2,270531087002,Block Group 2,G5030,S,318814,0,+44.9394615,-093.2372176,288,22,115,64,0,371,40,85156,43,74,737,645,476,411,0,664,528,22,0,1004,1004,157,19,708,0.0286144578313253,0.5074626865671642,0.09732360097323602,0.47410358565737054,0.5258964143426295,0.5050247218298123,2,9,72901470.953,42091.4463704,0.141295351273311,7.72156509436e-4,322
-93.25481274130605,44.945184118720796,27,053,008500,2,270530085002,Block Group 2,G5030,S,422160,44329,+44.9429041,-093.2572053,257,63,161,168,11,758,24,49100,135,156,1066,802,711,782,0,937,601,0,118,1312,1312,110,135,793,0.144076840981857,0.46810506566604126,0.030690537084398978,0.541920731707317,0.4580792682926829,0.3981388961183819,2,9,72901470.953,42091.4463704,0.141295351273311,7.72156509436e-4,296
-93.23933642147887,44.94750682565987,27,053,108700,3,270531087003,Block Group 3,G5030,S,399558,0,+44.9444449,-093.2389379,363,8,80,108,21,570,173,69345,8,796,1247,922,977,743,0,958,897,34,0,1874,1874,344,36,692,0.037578288100208766,0.40096230954290296,0.23283983849259757,0.5213447171824973,0.4786552828175027,0.3171239531236297,2,9,72901470.953,42091.4463704,0.141295351273311,7.72156509436e-4,1578
-93.2478891120792,44.936077630515136,27,053,109700,2,270531097002,Block Group 2,G5030,S,220788,0,+44.9358522,-093.2508524,299,0,134,122,16,386,73,90923,17,50,825,697,577,459,0,718,583,0,8,1160,1160,49,21,1036,0.02924791086350975,0.5296969696969697,0.15904139433551198,0.4974137931034483,0.5025862068965518,0.7997540130796671,2,9,72901470.953,42091.4463704,0.141295351273311,7.72156509436e-4,1530
-93.26380289906032,44.93836162839768,27,053,009500,1,270530095001,Block Group 1,G5030,S,160541,0,+44.9395719,-093.2650848,209,0,65,142,20,198,63,75114,10,23,747,660,393,261,0,703,495,0,203,888,888,65,43,587,0.06116642958748222,0.4966532797858099,0.2413793103448276,0.44256756756756754,0.5574324324324325,0.4900259211914617,2,9,72901470.953,42091.4463704,0.141295351273311,7.72156509436e-4,3225
-93.26801898582094,44.945685708613,27,053,008400,2,270530084002,Block Group 2,G5030,S,233040,0,+44.9448636,-093.2683572,194,18,47,40,15,289,55,60227,41,465,694,614,655,344,0,659,428,0,0,1083,1083,97,45,480,0.06828528072837632,0.38472622478386165,0.15988372093023256,0.6048014773776547,0.39519852262234534,0.3822237227904771,2,9,72901470.953,42091.4463704,0.141295351273311,7.72156509436e-4,292
-93.2374005536834,44.94268227654737,27,053,108700,3,270531087003,Block Group 3,G5030,S,399558,0,+44.9444449,-093.2389379,363,8,80,108,21,570,173,69345,8,796,1247,922,977,743,0,958,897,34,0,1874,1874,344,36,692,0.037578288100208766,0.40096230954290296,0.23283983849259757,0.5213447171824973,0.4786552828175027,0.3171239531236297,2,9,72901470.953,42091.4463704,0.141295351273311,7.72156509436e-4,1578
-93.27141859095224,44.94609966959292,27,053,008300,1,270530083001,Block Group 1,G5030,S,266249,0,+44.9448501,-093.2724343,42,11,153,43,0,266,139,41458,0,534,696,508,720,405,0,688,755,24,479,1475,1475,11,180,427,0.2616279069767442,0.13793103448275862,0.3432098765432099,0.488135593220339,0.511864406779661,0.3205984487216317,2,9,72901470.953,42091.4463704,0.141295351273311,7.72156509436e-4,260
-93.23726220238918,44.94214848934901,27,053,108700,3,270531087003,Block Group 3,G5030,S,399558,0,+44.9444449,-093.2389379,363,8,80,108,21,570,173,69345,8,796,1247,922,977,743,0,958,897,34,0,1874,1874,344,36,692,0.037578288100208766,0.40096230954290296,0.23283983849259757,0.5213447171824973,0.4786552828175027,0.3171239531236297,2,9,72901470.953,42091.4463704,0.141295351273311,7.72156509436e-4,1578
