x,y,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,ea_bachelors,ea_doctorate,ea_hsdiplomma,ea_masters,ea_profschool,foodstamp_no,foodstamp_yes,med_hh_income,total_asian,total_black,total_ea,total_employed,total_female,total_foodstamp,total_islander,total_labor_force,total_male,total_native,total_otherrace,total_pop,total_race,total_twoormore,total_unemployed,total_white,perc_unemployed,perc_ba_plus,perc_foodstamp,perc_female,perc_male,herfendahl,FID,BDNUM,Shape_STAr,Shape_STLe,SHAPE_Leng,SHAPE_Area,id
-93.25051230472563,44.941111274275244,27,053,008500,1,270530085001,Block Group 1,G5030,S,156481,0,+44.9430553,-093.2512012,126,0,42,43,0,209,25,56538,93,32,393,365,342,234,0,371,271,18,29,613,613,95,6,346,0.016172506738544475,0.4300254452926209,0.10683760683760683,0.5579119086460033,0.44208809135399674,0.347431533734821,2,9,72901470.953,42091.4463704,0.141295351273311,7.72156509436e-4,236
-93.25136706688676,44.94191840642692,27,053,008500,1,270530085001,Block Group 1,G5030,S,156481,0,+44.9430553,-093.2512012,126,0,42,43,0,209,25,56538,93,32,393,365,342,234,0,371,271,18,29,613,613,95,6,346,0.016172506738544475,0.4300254452926209,0.10683760683760683,0.5579119086460033,0.44208809135399674,0.347431533734821,2,9,72901470.953,42091.4463704,0.141295351273311,7.72156509436e-4,236
-93.25135981759716,44.94430097900532,27,053,008500,1,270530085001,Block Group 1,G5030,S,156481,0,+44.9430553,-093.2512012,126,0,42,43,0,209,25,56538,93,32,393,365,342,234,0,371,271,18,29,613,613,95,6,346,0.016172506738544475,0.4300254452926209,0.10683760683760683,0.5579119086460033,0.44208809135399674,0.347431533734821,2,9,72901470.953,42091.4463704,0.141295351273311,7.72156509436e-4,236
-93.25053033916338,44.940325735378934,27,053,008500,1,270530085001,Block Group 1,G5030,S,156481,0,+44.9430553,-093.2512012,126,0,42,43,0,209,25,56538,93,32,393,365,342,234,0,371,271,18,29,613,613,95,6,346,0.016172506738544475,0.4300254452926209,0.10683760683760683,0.5579119086460033,0.44208809135399674,0.347431533734821,2,9,72901470.953,42091.4463704,0.141295351273311,7.72156509436e-4,236
-93.2520848584404,44.941154947366705,27,053,008500,1,270530085001,Block Group 1,G5030,S,156481,0,+44.9430553,-093.2512012,126,0,42,43,0,209,25,56538,93,32,393,365,342,234,0,371,271,18,29,613,613,95,6,346,0.016172506738544475,0.4300254452926209,0.10683760683760683,0.5579119086460033,0.44208809135399674,0.347431533734821,2,9,72901470.953,42091.4463704,0.141295351273311,7.72156509436e-4,236
-93.25005558784585,44.94132004024108,27,053,008500,1,270530085001,Block Group 1,G5030,S,156481,0,+44.9430553,-093.2512012,126,0,42,43,0,209,25,56538,93,32,393,365,342,234,0,371,271,18,29,613,613,95,6,346,0.016172506738544475,0.4300254452926209,0.10683760683760683,0.5579119086460033,0.44208809135399674,0.347431533734821,2,9,72901470.953,42091.4463704,0.141295351273311,7.72156509436e-4,236
-93.25014004273064,44.943740323555886,27,053,008500,1,270530085001,Block Group 1,G5030,S,156481,0,+44.9430553,-093.2512012,126,0,42,43,0,209,25,56538,93,32,393,365,342,234,0,371,271,18,29,613,613,95,6,346,0.016172506738544475,0.4300254452926209,0.10683760683760683,0.5579119086460033,0.44208809135399674,0.347431533734821,2,9,72901470.953,42091.4463704,0.141295351273311,7.72156509436e-4,236
-93.25171976804128,44.94126989535406,27,053,008500,1,270530085001,Block Group 1,G5030,S,156481,0,+44.9430553,-093.2512012,126,0,42,43,0,209,25,56538,93,32,393,365,342,234,0,371,271,18,29,613,613,95,6,346,0.016172506738544475,0.4300254452926209,0.10683760683760683,0.5579119086460033,0.44208809135399674,0.347431533734821,2,9,72901470.953,42091.4463704,0.141295351273311,7.72156509436e-4,236
-93.25047883959449,44.9440617574737,27,053,008500,1,270530085001,Block Group 1,G5030,S,156481,0,+44.9430553,-093.2512012,126,0,42,43,0,209,25,56538,93,32,393,365,342,234,0,371,271,18,29,613,613,95,6,346,0.016172506738544475,0.4300254452926209,0.10683760683760683,0.5579119086460033,0.44208809135399674,0.347431533734821,2,9,72901470.953,42091.4463704,0.141295351273311,7.72156509436e-4,236
-93.25070671944218,44.941785968869624,27,053,008500,1,270530085001,Block Group 1,G5030,S,156481,0,+44.9430553,-093.2512012,126,0,42,43,0,209,25,56538,93,32,393,365,342,234,0,371,271,18,29,613,613,95,6,346,0.016172506738544475,0.4300254452926209,0.10683760683760683,0.5579119086460033,0.44208809135399674,0.347431533734821,2,9,72901470.953,42091.4463704,0.141295351273311,7.72156509436e-4,236
