X,Y,PoliceUseOfForceID,CaseNumber,ResponseDate,Problem,Is911Call,PrimaryOffense,SubjectInjury,ForceReportNumber,SubjectRole,SubjectRoleNumber,ForceType,ForceTypeAction,Race,Sex,EventAge,TypeOfResistance,Precinct,Neighborhood,TotalCityCallsForYear,TotalPrecinctCallsForYear,TotalNeighborhoodCallsForYear,CenterGBSID,CenterLatitude,CenterLongitude,CenterX,CenterY,DateAdded,OBJECTID,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,ea_bachelors,ea_doctorate,ea_hsdiplomma,ea_masters,ea_profschool,foodstamp_no,foodstamp_yes,med_hh_income,total_asian,total_black,total_ea,total_employed,total_female,total_foodstamp,total_islander,total_labor_force,total_male,total_native,total_otherrace,total_pop,total_race,total_twoormore,total_unemployed,total_white,perc_unemployed,perc_ba_plus,perc_foodstamp,perc_female,perc_male,herfendahl,FID,BDNUM,Shape_STAr,Shape_STLe,SHAPE_Leng,SHAPE_Area,id
-93.2480152013705,44.9413403029025,43602482,08-084573,2008/03/26 20:18:23+00,Robbery of Person ,Yes,ROBPAG,No,1,A,1,Bodily Force,Kicks,White,Male,17,Verbal Non-Compliance,03,Powderhorn Park,322402,84018,7006,11634,44.94134,-93.248015,-10380321.5697,5612291.4399,2023/01/02 08:19:26+00,8,27,053,108600,3,270531086003,Block Group 3,G5030,S,195859,0,+44.9439571,-093.2486675,192,0,147,84,44,356,92,60921,11,362,775,714,622,448,0,781,841,0,210,1463,1463,25,67,855,0.08578745198463508,0.4129032258064516,0.20535714285714285,0.42515379357484623,0.5748462064251538,0.4234269885239414,2,9,72901470.953,42091.4463704,0.141295351273311,7.72156509436e-4,1577
-93.2702221714382,44.942268994423,43602517,08-059569,2008/03/02 01:00:16+00,Fight ,No,OBSTRU,No,1,A,1,Bodily Force,Punches,Black,Male,20,Verbal Non-Compliance,03,Central,322402,84018,10923,11912,44.942269,-93.270222,-10382793.6383,5612437.4951,2023/01/02 08:19:26+00,43,27,053,008300,1,270530083001,Block Group 1,G5030,S,266249,0,+44.9448501,-093.2724343,42,11,153,43,0,266,139,41458,0,534,696,508,720,405,0,688,755,24,479,1475,1475,11,180,427,0.2616279069767442,0.13793103448275862,0.3432098765432099,0.488135593220339,0.511864406779661,0.3205984487216317,2,9,72901470.953,42091.4463704,0.141295351273311,7.72156509436e-4,260
-93.24865046299,44.9528511394386,43602526,08-043457,2008/02/14 19:53:39+00,Assault in Progress ,Yes,OBSTRU,,1,A,1,Bodily Force,Joint Lock,White,Male,34,Tensed,03,East Phillips,322402,84018,7167,18795,44.952851,-93.24865,-10380392.2867,5614101.9146,2023/01/02 08:19:26+00,52,27,053,125900,3,270531259003,Block Group 3,G5030,S,329039,0,+44.9536881,-093.2471833,301,0,227,134,12,461,141,74934,43,134,1282,1132,1048,602,0,1155,1145,45,1112,2193,2193,101,23,758,0.019913419913419914,0.3486739469578783,0.23421926910299004,0.4778841769265846,0.5221158230734154,0.38112769790044143,2,9,72901470.953,42091.4463704,0.141295351273311,7.72156509436e-4,4603
-93.2626657983898,44.9474874169334,43602533,08-078410,2008/03/20 16:34:59+00,Person with a Gun ,Yes,BURGD,Yes,1,A,2,Taser,Both,Black,Male,35,Unspecified,03,Central,322402,84018,10923,19700,44.947487,-93.262666,-10381952.4667,5613258.2397,2023/01/02 08:19:26+00,59,27,053,008500,4,270530085004,Block Group 4,G5030,S,201498,0,+44.9474590,-093.2563118,210,0,35,23,0,210,74,59375,3,58,494,358,411,284,0,403,417,0,310,828,828,110,45,347,0.11166253101736973,0.4716599190283401,0.2605633802816901,0.4963768115942029,0.5036231884057971,0.32072218721557094,2,9,72901470.953,42091.4463704,0.141295351273311,7.72156509436e-4,2235
-93.2467693898867,44.9483706972091,43602551,08-058792,2008/03/01 11:19:36+00,Down Outside-One ,Yes,DISCON,No,1,A,1,Taser,Touch,Native American,Male,19,Verbal Non-Compliance,03,Corcoran,322402,84018,3058,21926,44.948371,-93.246769,-10380182.8866,5613397.1679,2023/01/02 08:19:26+00,77,27,053,125900,1,270531259001,Block Group 1,G5030,S,410412,0,+44.9500986,-093.2459323,36,10,64,12,0,143,97,27161,16,359,342,378,532,240,0,389,304,61,139,836,836,49,11,212,0.028277634961439587,0.1695906432748538,0.4041666666666667,0.6363636363636364,0.36363636363636365,0.28204911746525946,2,9,72901470.953,42091.4463704,0.141295351273311,7.72156509436e-4,2216
-93.2745832361228,44.9435086025655,43602556,08-091924,2008/04/02 20:42:08+00,Suspicious Person ,No,OBSTRU,,1,A,1,Bodily Force,Body Weight to Pin,Native American,Female,28,Fled on Foot,03,Lyndale,322402,84018,7628,16279,44.943509,-93.274583,-10383279.1098,5612632.4518,2023/01/02 08:19:26+00,82,27,053,008300,1,270530083001,Block Group 1,G5030,S,266249,0,+44.9448501,-093.2724343,42,11,153,43,0,266,139,41458,0,534,696,508,720,405,0,688,755,24,479,1475,1475,11,180,427,0.2616279069767442,0.13793103448275862,0.3432098765432099,0.488135593220339,0.511864406779661,0.3205984487216317,2,9,72901470.953,42091.4463704,0.141295351273311,7.72156509436e-4,260
-93.2470197737126,44.9597441831956,43602571,08-000144,2008/01/01 01:27:27+00,Suspicious Person ,No,OBSTRU,No,2,A,1,Taser,Firing Darts,White,Male,27,Commission of Crime,03,East Phillips,322402,84018,7167,22838,44.959744,-93.24702,-10380210.7592,5615186.2565,2023/01/02 08:19:26+00,97,27,053,125900,2,270531259002,Block Group 2,G5030,S,310459,0,+44.9576780,-093.2482210,211,0,89,49,11,217,280,41450,83,751,903,615,1043,497,0,704,983,878,81,2026,2026,22,89,211,0.12642045454545456,0.3001107419712071,0.5633802816901409,0.5148075024679171,0.48519249753208293,0.33933396935592475,2,9,72901470.953,42091.4463704,0.141295351273311,7.72156509436e-4,3583
-93.2728289260859,44.9458132732129,43602579,08-070407,2008/03/12 22:32:39+00,Suspicious Person ,No,DISCON,No,1,A,1,Bodily Force,Punches,Black,Male,28,Tensed,03,Central,322402,84018,10923,11926,44.945813,-93.272829,-10383083.8209,5612994.9251,2023/01/02 08:19:26+00,105,27,053,008300,1,270530083001,Block Group 1,G5030,S,266249,0,+44.9448501,-093.2724343,42,11,153,43,0,266,139,41458,0,534,696,508,720,405,0,688,755,24,479,1475,1475,11,180,427,0.2616279069767442,0.13793103448275862,0.3432098765432099,0.488135593220339,0.511864406779661,0.3205984487216317,2,9,72901470.953,42091.4463704,0.141295351273311,7.72156509436e-4,260
-93.2657818133619,44.9431848474146,43602581,08-010291,2008/01/10 22:21:53+00,Motor Vehicle Chase ,No,FLEE,Yes,6,A,1,Bodily Force,Body Weight to Pin,White,Male,22,Fled in Vehicle,03,Central,322402,84018,10923,11907,44.943185,-93.265782,-10382299.3399,5612581.5335,2023/01/02 08:19:26+00,107,27,053,008400,1,270530084001,Block Group 1,G5030,S,233861,0,+44.9448626,-093.2645420,235,33,74,114,0,344,38,103077,23,448,742,643,716,382,0,675,643,5,123,1359,1359,210,32,550,0.047407407407407405,0.5148247978436657,0.09947643979057591,0.5268579838116262,0.4731420161883738,0.28095313125209476,2,9,72901470.953,42091.4463704,0.141295351273311,7.72156509436e-4,2227
-93.2473560382763,44.9559984412221,43602582,08-030595,2008/02/01 01:13:09+00,Traffic Law Enforcement ,No,NARC,,1,A,1,Bodily Force,Push Away,White,Male,24,Tensed,03,East Phillips,322402,84018,7167,17532,44.955998,-93.247356,-10380248.192,5614596.9992,2023/01/02 08:19:26+00,108,27,053,125900,2,270531259002,Block Group 2,G5030,S,310459,0,+44.9576780,-093.2482210,211,0,89,49,11,217,280,41450,83,751,903,615,1043,497,0,704,983,878,81,2026,2026,22,89,211,0.12642045454545456,0.3001107419712071,0.5633802816901409,0.5148075024679171,0.48519249753208293,0.33933396935592475,2,9,72901470.953,42091.4463704,0.141295351273311,7.72156509436e-4,3583
